Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
jan/15;FNDE;153173 / 15253;2.604.077.590,00
jan/15;INCRA;373001 / 37201;181.456.016,00
jan/15;SENAI;33.564.543/0001-90;219.119.330,00
jan/15;SESI;33.641.358/0001-52;313.370.139,00
jan/15;SENAC;33.469.172/0001-68;334.005.249,00
jan/15;SESC;33.469.164/0001-11;597.447.338,00
jan/15;SEBRAE;00.330.854/0001-45;428.247.534,00
jan/15;EMBRATUR;35.842.428/0001-66;0
jan/15;DPC;852001 / 00001;20.988.896,00
jan/15;ANAC;122002 / 00001;30.221.162,00
jan/15;SENAR;37.138.245/0001-90;40.999.819,00
jan/15;SEST;73.471.989/0001-95;57.041.322,00
jan/15;SENAT;73.471.963/0001-47;37.293.612,00
jan/15;SESCOOP;03.087.543/0001-86;39.616.737,00
jan/15;SDR;420013 / 00001;32.001.111,00
jan/15;APEX-BR;05.507.500/0001-38;62.241.408,00
jan/15;ABDI;07.200.966/0001-11;8.917.017,00
fev/15;FNDE;153173 / 15253;1.526.976.201,00
fev/15;INCRA;373001 / 37201;106.202.613,00
fev/15;SENAI;33.564.543/0001-90;135.090.247,00
fev/15;SESI;33.641.358/0001-52;193.889.080,00
fev/15;SENAC;33.469.172/0001-68;199.378.928,00
fev/15;SESC;33.469.164/0001-11;355.385.173,00
fev/15;SEBRAE;00.330.854/0001-45;253.753.729,00
fev/15;EMBRATUR;35.842.428/0001-66;0
fev/15;DPC;852001 / 00001;12.376.606,00
fev/15;ANAC;122002 / 00001;17.622.443,00
fev/15;SENAR;37.138.245/0001-90;39.006.482,00
fev/15;SEST;73.471.989/0001-95;34.810.740,00
fev/15;SENAT;73.471.963/0001-47;22.063.632,00
fev/15;SESCOOP;03.087.543/0001-86;22.396.117,00
fev/15;SDR;420013 / 00001;18.728.858,00
fev/15;APEX-BR;05.507.500/0001-38;36.879.718,00
fev/15;ABDI;07.200.966/0001-11;5.283.568,00
mar/15;FNDE;153173 / 15253;1.497.863.152,00
mar/15;INCRA;373001 / 37201;104.401.840,00
mar/15;SENAI;33.564.543/0001-90;130.078.300,00
mar/15;SESI;33.641.358/0001-52;186.597.391,00
mar/15;SENAC;33.469.172/0001-68;194.608.000,00
mar/15;SESC;33.469.164/0001-11;350.007.688,00
mar/15;SEBRAE;00.330.854/0001-45;250.133.611,00
mar/15;EMBRATUR;35.842.428/0001-66;0
mar/15;DPC;852001 / 00001;12.688.337,00
mar/15;ANAC;122002 / 00001;17.651.320,00
mar/15;SENAR;37.138.245/0001-90;38.444.869,00
mar/15;SEST;73.471.989/0001-95;35.367.894,00
mar/15;SENAT;73.471.963/0001-47;22.303.291,00
mar/15;SESCOOP;03.087.543/0001-86;22.938.132,00
mar/15;SDR;420013 / 00001;18.417.897,00
mar/15;APEX-BR;05.507.500/0001-38;35.640.967,00
mar/15;ABDI;07.200.966/0001-11;5.106.097,00
abr/15;FNDE;153173 / 15253;1.491.264.359,00
abr/15;INCRA;373001 / 37201;104.205.840,00
abr/15;SENAI;33.564.543/0001-90;129.316.956,00
abr/15;SESI;33.641.358/0001-52;186.271.308,00
abr/15;SENAC;33.469.172/0001-68;194.953.409,00
abr/15;SESC;33.469.164/0001-11;347.541.683,00
abr/15;SEBRAE;00.330.854/0001-45;246.697.381,00
abr/15;EMBRATUR;35.842.428/0001-66;0
abr/15;DPC;852001 / 00001;11.957.274,00
abr/15;ANAC;122002 / 00001;15.279.686,00
abr/15;SENAR;37.138.245/0001-90;43.489.888,00
abr/15;SEST;73.471.989/0001-95;35.896.833,00
abr/15;SENAT;73.471.963/0001-47;22.647.809,00
abr/15;SESCOOP;03.087.543/0001-86;22.372.341,00
abr/15;SDR;420013 / 00001;18.378.264,00
abr/15;APEX-BR;05.507.500/0001-38;35.586.839,00
abr/15;ABDI;07.200.966/0001-11;5.098.347,00
mai/15;FNDE;153173 / 15253;1.471.212.673,00
mai/15;INCRA;373001 / 37201;102.665.967,00
mai/15;SENAI;33.564.543/0001-90;125.354.190,00
mai/15;SESI;33.641.358/0001-52;180.214.592,00
mai/15;SENAC;33.469.172/0001-68;190.691.531,00
mai/15;SESC;33.469.164/0001-11;341.443.211,00
mai/15;SEBRAE;00.330.854/0001-45;242.484.318,00
mai/15;EMBRATUR;35.842.428/0001-66;0
mai/15;DPC;852001 / 00001;12.455.587,00
mai/15;ANAC;122002 / 00001;19.480.138,00
mai/15;SENAR;37.138.245/0001-90;69.520.527,00
mai/15;SEST;73.471.989/0001-95;35.114.292,00
mai/15;SENAT;73.471.963/0001-47;22.223.146,00
mai/15;SESCOOP;03.087.543/0001-86;22.210.052,00
mai/15;SDR;420013 / 00001;18.104.427,00
mai/15;APEX-BR;05.507.500/0001-38;34.971.787,00
mai/15;ABDI;07.200.966/0001-11;5.010.227,00
jun/15;FNDE;153173 / 15253;1.493.670.147,00
jun/15;INCRA;373001 / 37201;104.741.545,00
jun/15;SENAI;33.564.543/0001-90;127.849.778,00
jun/15;SESI;33.641.358/0001-52;184.460.043,00
jun/15;SENAC;33.469.172/0001-68;196.440.178,00
jun/15;SESC;33.469.164/0001-11;351.491.056,00
jun/15;SEBRAE;00.330.854/0001-45;246.852.283,00
jun/15;EMBRATUR;35.842.428/0001-66;0
jun/15;DPC;852001 / 00001;12.053.305,00
jun/15;ANAC;122002 / 00001;17.506.318,00
jun/15;SENAR;37.138.245/0001-90;63.531.019,00
jun/15;SEST;73.471.989/0001-95;36.143.031,00
jun/15;SENAT;73.471.963/0001-47;22.848.653,00
jun/15;SESCOOP;03.087.543/0001-86;22.488.438,00
jun/15;SDR;420013 / 00001;18.472.932,00
jun/15;APEX-BR;05.507.500/0001-38;35.651.779,00
jun/15;ABDI;07.200.966/0001-11;5.107.645,00
jul/15;FNDE;153173 / 15253;1.513.119.629,00
jul/15;INCRA;373001 / 37201;106.734.993,00
jul/15;SENAI;33.564.543/0001-90;130.911.622,00
jul/15;SESI;33.641.358/0001-52;188.067.056,00
jul/15;SENAC;33.469.172/0001-68;198.775.366,00
jul/15;SESC;33.469.164/0001-11;357.769.318,00
jul/15;SEBRAE;00.330.854/0001-45;251.290.982,00
jul/15;EMBRATUR;35.842.428/0001-66;0
jul/15;DPC;852001 / 00001;12.344.448,00
jul/15;ANAC;122002 / 00001;16.927.860,00
jul/15;SENAR;37.138.245/0001-90;55.866.485,00
jul/15;SEST;73.471.989/0001-95;37.714.635,00
jul/15;SENAT;73.471.963/0001-47;24.117.872,00
jul/15;SESCOOP;03.087.543/0001-86;22.770.769,00
jul/15;SDR;420013 / 00001;18.823.330,00
jul/15;APEX-BR;05.507.500/0001-38;36.283.379,00
jul/15;ABDI;07.200.966/0001-11;5.198.127,00
ago/15;FNDE;153173 / 15253;1.423.029.337,00
ago/15;INCRA;373001 / 37201;99.312.699,00
ago/15;SENAI;33.564.543/0001-90;120.579.877,00
ago/15;SESI;33.641.358/0001-52;173.341.613,00
ago/15;SENAC;33.469.172/0001-68;186.518.805,00
ago/15;SESC;33.469.164/0001-11;334.869.835,00
ago/15;SEBRAE;00.330.854/0001-45;236.223.522,00
ago/15;EMBRATUR;35.842.428/0001-66;0
ago/15;DPC;852001 / 00001;12.096.033,00
ago/15;ANAC;122002 / 00001;16.007.685,00
ago/15;SENAR;37.138.245/0001-90;52.971.979,00
ago/15;SEST;73.471.989/0001-95;35.870.763,00
ago/15;SENAT;73.471.963/0001-47;22.634.160,00
ago/15;SESCOOP;03.087.543/0001-86;21.936.120,00
ago/15;SDR;420013 / 00001;17.516.208,00
ago/15;APEX-BR;05.507.500/0001-38;34.121.502,00
ago/15;ABDI;07.200.966/0001-11;4.888.414,00
set/15;FNDE;153173 / 15253;1.562.096.473,00
set/15;INCRA;373001 / 37201;110.041.323,00
set/15;SENAI;33.564.543/0001-90;134.680.242,00
set/15;SESI;33.641.358/0001-52;193.913.488,00
set/15;SENAC;33.469.172/0001-68;204.643.886,00
set/15;SESC;33.469.164/0001-11;368.111.074,00
set/15;SEBRAE;00.330.854/0001-45;258.191.826,00
set/15;EMBRATUR;35.842.428/0001-66;0
set/15;DPC;852001 / 00001;12.785.671,00
set/15;ANAC;122002 / 00001;18.450.493,00
set/15;SENAR;37.138.245/0001-90;58.350.822,00
set/15;SEST;73.471.989/0001-95;40.999.695,00
set/15;SENAT;73.471.963/0001-47;25.886.746,00
set/15;SESCOOP;03.087.543/0001-86;23.494.676,00
set/15;SDR;420013 / 00001;19.406.435,00
set/15;APEX-BR;05.507.500/0001-38;37.300.570,00
set/15;ABDI;07.200.966/0001-11;5.343.856,00
out/15;FNDE;153173 / 15253;1.475.278.041,00
out/15;INCRA;373001 / 37201;102.912.717,00
out/15;SENAI;33.564.543/0001-90;125.160.250,00
out/15;SESI;33.641.358/0001-52;179.631.610,00
out/15;SENAC;33.469.172/0001-68;193.903.575,00
out/15;SESC;33.469.164/0001-11;347.121.597,00
out/15;SEBRAE;00.330.854/0001-45;243.374.577,00
out/15;EMBRATUR;35.842.428/0001-66;0
out/15;DPC;852001 / 00001;12.095.445,00
out/15;ANAC;122002 / 00001;15.653.426,00
out/15;SENAR;37.138.245/0001-90;55.014.695,00
out/15;SEST;73.471.989/0001-95;37.047.706,00
out/15;SENAT;73.471.963/0001-47;23.350.397,00
out/15;SESCOOP;03.087.543/0001-86;23.668.256,00
out/15;SDR;420013 / 00001;18.149.574,00
out/15;APEX-BR;05.507.500/0001-38;35.119.139,00
out/15;ABDI;07.200.966/0001-11;5.031.336,00
nov/15;FNDE;153173 / 15253;1.418.418.705,00
nov/15;INCRA;373001 / 37201;99.203.321,00
nov/15;SENAI;33.564.543/0001-90;120.055.039,00
nov/15;SESI;33.641.358/0001-52;172.125.628,00
nov/15;SENAC;33.469.172/0001-68;189.277.058,00
nov/15;SESC;33.469.164/0001-11;330.379.586,00
nov/15;SEBRAE;00.330.854/0001-45;235.550.305,00
nov/15;EMBRATUR;35.842.428/0001-66;0
nov/15;DPC;852001 / 00001;12.170.236,00
nov/15;ANAC;122002 / 00001;15.515.840,00
nov/15;SENAR;37.138.245/0001-90;55.841.556,00
nov/15;SEST;73.471.989/0001-95;35.734.607,00
nov/15;SENAT;73.471.963/0001-47;22.512.368,00
nov/15;SESCOOP;03.087.543/0001-86;22.659.534,00
nov/15;SDR;420013 / 00001;17.494.083,00
nov/15;APEX-BR;05.507.500/0001-38;33.952.467,00
nov/15;ABDI;07.200.966/0001-11;4.864.197,00
dez/15;FNDE;153173 / 15253;1.505.051.956,00
dez/15;INCRA;373001 / 37201;107.359.603,00
dez/15;SENAI;33.564.543/0001-90;125.669.841,00
dez/15;SESI;33.641.358/0001-52;180.405.910,00
dez/15;SENAC;33.469.172/0001-68;200.515.725,00
dez/15;SESC;33.469.164/0001-11;360.311.950,00
dez/15;SEBRAE;00.330.854/0001-45;249.253.135,00
dez/15;EMBRATUR;35.842.428/0001-66;0
dez/15;DPC;852001 / 00001;12.181.794,00
dez/15;ANAC;122002 / 00001;19.097.423,00
dez/15;SENAR;37.138.245/0001-90;55.237.564,00
dez/15;SEST;73.471.989/0001-95;38.150.014,00
dez/15;SENAT;73.471.963/0001-47;24.009.971,00
dez/15;SESCOOP;03.087.543/0001-86;25.082.901,00
dez/15;SDR;420013 / 00001;18.935.023,00
dez/15;APEX-BR;05.507.500/0001-38;35.780.894,00
dez/15;ABDI;07.200.966/0001-11;5.126.142,00
jan/16;FNDE;153173 / 15253;2.641.342.636,00
jan/16;INCRA;373001 / 37201;184.369.799,00
jan/16;SENAI;33.564.543/0001-90;206.590.219,00
jan/16;SESI;33.641.358/0001-52;295.942.048,00
jan/16;SENAC;33.469.172/0001-68;341.443.629,00
jan/16;SESC;33.469.164/0001-11;616.112.072,00
jan/16;SEBRAE;00.330.854/0001-45;427.854.975,00
jan/16;EMBRATUR;35.842.428/0001-66;0
jan/16;DPC;852001 / 00001;19.619.304,00
jan/16;ANAC;122002 / 00001;29.767.428,00
jan/16;SENAR;37.138.245/0001-90;49.508.667,00
jan/16;SEST;73.471.989/0001-95;57.950.675,00
jan/16;SENAT;73.471.963/0001-47;37.579.076,00
jan/16;SESCOOP;03.087.543/0001-86;43.435.416,00
jan/16;SDR;420013 / 00001;32.532.048,00
jan/16;APEX-BR;05.507.500/0001-38;61.982.179,00
jan/16;ABDI;07.200.966/0001-11;8.879.876,00
fev/16;FNDE;153173 / 15253;1.561.552.120,00
fev/16;INCRA;373001 / 37201;108.896.716,00
fev/16;SENAI;33.564.543/0001-90;126.387.105,00
fev/16;SESI;33.641.358/0001-52;181.272.664,00
fev/16;SENAC;33.469.172/0001-68;204.004.841,00
fev/16;SESC;33.469.164/0001-11;368.394.356,00
fev/16;SEBRAE;00.330.854/0001-45;256.686.003,00
fev/16;EMBRATUR;35.842.428/0001-66;0
fev/16;DPC;852001 / 00001;13.112.651,00
fev/16;ANAC;122002 / 00001;21.368.230,00
fev/16;SENAR;37.138.245/0001-90;47.883.790,00
fev/16;SEST;73.471.989/0001-95;35.750.274,00
fev/16;SENAT;73.471.963/0001-47;22.783.314,00
fev/16;SESCOOP;03.087.543/0001-86;24.725.690,00
fev/16;SDR;420013 / 00001;19.205.062,00
fev/16;APEX-BR;05.507.500/0001-38;37.086.041,00
fev/16;ABDI;07.200.966/0001-11;5.313.125,00
mar/16;FNDE;153173 / 15253;1.530.800.283,00
mar/16;INCRA;373001 / 37201;108.377.346,00
mar/16;SENAI;33.564.543/0001-90;122.383.201,00
mar/16;SESI;33.641.358/0001-52;175.527.864,00
mar/16;SENAC;33.469.172/0001-68;202.830.494,00
mar/16;SESC;33.469.164/0001-11;364.750.091,00
mar/16;SEBRAE;00.330.854/0001-45;250.966.990,00
mar/16;EMBRATUR;35.842.428/0001-66;0
mar/16;DPC;852001 / 00001;12.413.229,00
mar/16;ANAC;122002 / 00001;18.258.660,00
mar/16;SENAR;37.138.245/0001-90;47.820.863,00
mar/16;SEST;73.471.989/0001-95;34.955.731,00
mar/16;SENAT;73.471.963/0001-47;22.512.395,00
mar/16;SESCOOP;03.087.543/0001-86;24.991.432,00
mar/16;SDR;420013 / 00001;19.115.041,00
mar/16;APEX-BR;05.507.500/0001-38;36.272.504,00
mar/16;ABDI;07.200.966/0001-11;5.196.571,00
abr/16;FNDE;153173 / 15253;1.528.966.346,00
abr/16;INCRA;373001 / 37201;109.831.194,00
abr/16;SENAI;33.564.543/0001-90;119.621.420,00
abr/16;SESI;33.641.358/0001-52;172.076.300,00
abr/16;SENAC;33.469.172/0001-68;203.696.264,00
abr/16;SESC;33.469.164/0001-11;366.728.299,00
abr/16;SEBRAE;00.330.854/0001-45;247.671.943,00
abr/16;EMBRATUR;35.842.428/0001-66;0
abr/16;DPC;852001 / 00001;12.767.809,00
abr/16;ANAC;122002 / 00001;17.381.576,00
abr/16;SENAR;37.138.245/0001-90;63.908.355,00
abr/16;SEST;73.471.989/0001-95;36.483.309,00
abr/16;SENAT;73.471.963/0001-47;23.138.349,00
abr/16;SESCOOP;03.087.543/0001-86;25.517.130,00
abr/16;SDR;420013 / 00001;19.349.348,00
abr/16;APEX-BR;05.507.500/0001-38;35.970.070,00
abr/16;ABDI;07.200.966/0001-11;5.157.779,00
mai/16;FNDE;153173 / 15253;1.516.892.712,00
mai/16;INCRA;373001 / 37201;108.268.397,00
mai/16;SENAI;33.564.543/0001-90;119.127.791,00
mai/16;SESI;33.641.358/0001-52;170.318.209,00
mai/16;SENAC;33.469.172/0001-68;201.282.019,00
mai/16;SESC;33.469.164/0001-11;362.275.318,00
mai/16;SEBRAE;00.330.854/0001-45;246.943.494,00
mai/16;EMBRATUR;35.842.428/0001-66;0
mai/16;DPC;852001 / 00001;12.409.046,00
mai/16;ANAC;122002 / 00001;19.313.677,00
mai/16;SENAR;37.138.245/0001-90;79.546.181,00
mai/16;SEST;73.471.989/0001-95;36.145.029,00
mai/16;SENAT;73.471.963/0001-47;22.936.647,00
mai/16;SESCOOP;03.087.543/0001-86;24.740.018,00
mai/16;SDR;420013 / 00001;19.095.257,00
mai/16;APEX-BR;05.507.500/0001-38;35.892.379,00
mai/16;ABDI;07.200.966/0001-11;5.145.673,00
jun/16;FNDE;153173 / 15253;1.509.666.579,00
jun/16;INCRA;373001 / 37201;107.413.776,00
jun/16;SENAI;33.564.543/0001-90;117.979.521,00
jun/16;SESI;33.641.358/0001-52;169.891.463,00
jun/16;SENAC;33.469.172/0001-68;201.597.396,00
jun/16;SESC;33.469.164/0001-11;364.622.706,00
jun/16;SEBRAE;00.330.854/0001-45;246.925.570,00
jun/16;EMBRATUR;35.842.428/0001-66;0
jun/16;DPC;852001 / 00001;12.191.203,00
jun/16;ANAC;122002 / 00001;17.529.922,00
jun/16;SENAR;37.138.245/0001-90;73.787.196,00
jun/16;SEST;73.471.989/0001-95;37.319.302,00
jun/16;SENAT;73.471.963/0001-47;23.522.935,00
jun/16;SESCOOP;03.087.543/0001-86;24.688.810,00
jun/16;SDR;420013 / 00001;18.941.515,00
jun/16;APEX-BR;05.507.500/0001-38;35.886.008,00
jun/16;ABDI;07.200.966/0001-11;5.145.221,00
jul/16;FNDE;153173 / 15253;1.508.243.008,00
jul/16;INCRA;373001 / 37201;107.299.542,00
jul/16;SENAI;33.564.543/0001-90;117.872.161,00
jul/16;SESI;33.641.358/0001-52;170.194.629,00
jul/16;SENAC;33.469.172/0001-68;201.560.599,00
jul/16;SESC;33.469.164/0001-11;364.791.516,00
jul/16;SEBRAE;00.330.854/0001-45;246.071.875,00
jul/16;EMBRATUR;35.842.428/0001-66;0
jul/16;DPC;852001 / 00001;12.461.579,00
jul/16;ANAC;122002 / 00001;17.073.331,00
jul/16;SENAR;37.138.245/0001-90;70.333.932,00
jul/16;SEST;73.471.989/0001-95;36.758.381,00
jul/16;SENAT;73.471.963/0001-47;23.511.519,00
jul/16;SESCOOP;03.087.543/0001-86;24.125.101,00
jul/16;SDR;420013 / 00001;18.923.752,00
jul/16;APEX-BR;05.507.500/0001-38;35.764.920,00
jul/16;ABDI;07.200.966/0001-11;5.127.220,00
ago/16;FNDE;153173 / 15253;1.507.691.739,00
ago/16;INCRA;373001 / 37201;107.173.149,00
ago/16;SENAI;33.564.543/0001-90;120.585.915,00
ago/16;SESI;33.641.358/0001-52;170.353.966,00
ago/16;SENAC;33.469.172/0001-68;201.108.906,00
ago/16;SESC;33.469.164/0001-11;364.193.406,00
ago/16;SEBRAE;00.330.854/0001-45;245.916.784,00
ago/16;EMBRATUR;35.842.428/0001-66;0
ago/16;DPC;852001 / 00001;11.942.655,00
ago/16;ANAC;122002 / 00001;17.078.560,00
ago/16;SENAR;37.138.245/0001-90;68.972.852,00
ago/16;SEST;73.471.989/0001-95;37.749.731,00
ago/16;SENAT;73.471.963/0001-47;23.883.954,00
ago/16;SESCOOP;03.087.543/0001-86;25.354.097,00
ago/16;SDR;420013 / 00001;18.900.864,00
ago/16;APEX-BR;05.507.500/0001-38;35.741.610,00
ago/16;ABDI;07.200.966/0001-11;5.123.894,00
set/16;FNDE;153173 / 15253;1.532.494.539,00
set/16;INCRA;373001 / 37201;109.284.187,00
set/16;SENAI;33.564.543/0001-90;119.636.151,00
set/16;SESI;33.641.358/0001-52;171.178.904,00
set/16;SENAC;33.469.172/0001-68;203.456.829,00
set/16;SESC;33.469.164/0001-11;370.276.641,00
set/16;SEBRAE;00.330.854/0001-45;249.118.519,00
set/16;EMBRATUR;35.842.428/0001-66;0
set/16;DPC;852001 / 00001;12.385.763,00
set/16;ANAC;122002 / 00001;17.953.196,00
set/16;SENAR;37.138.245/0001-90;62.038.443,00
set/16;SEST;73.471.989/0001-95;39.205.389,00
set/16;SENAT;73.471.963/0001-47;24.699.514,00
set/16;SESCOOP;03.087.543/0001-86;25.300.940,00
set/16;SDR;420013 / 00001;19.274.012,00
set/16;APEX-BR;05.507.500/0001-38;36.207.965,00
set/16;ABDI;07.200.966/0001-11;5.190.837,00
out/16;FNDE;153173 / 15253;1.508.696.077,00
out/16;INCRA;373001 / 37201;107.424.270,00
out/16;SENAI;33.564.543/0001-90;117.700.984,00
out/16;SESI;33.641.358/0001-52;167.921.658,00
out/16;SENAC;33.469.172/0001-68;200.823.518,00
out/16;SESC;33.469.164/0001-11;362.100.502,00
out/16;SEBRAE;00.330.854/0001-45;245.199.472,00
out/16;EMBRATUR;35.842.428/0001-66;0
out/16;DPC;852001 / 00001;11.980.558,00
out/16;ANAC;122002 / 00001;17.670.036,00
out/16;SENAR;37.138.245/0001-90;62.350.157,00
out/16;SEST;73.471.989/0001-95;38.498.980,00
out/16;SENAT;73.471.963/0001-47;24.257.440,00
out/16;SESCOOP;03.087.543/0001-86;25.172.112,00
out/16;SDR;420013 / 00001;18.942.562,00
out/16;APEX-BR;05.507.500/0001-38;35.633.854,00
out/16;ABDI;07.200.966/0001-11;5.108.221,00
nov/16;FNDE;153173 / 15253;1.513.447.335,00
nov/16;INCRA;373001 / 37201;108.428.690,00
nov/16;SENAI;33.564.543/0001-90;115.509.710,00
nov/16;SESI;33.641.358/0001-52;164.748.587,00
nov/16;SENAC;33.469.172/0001-68;204.228.711,00
nov/16;SESC;33.469.164/0001-11;368.469.675,00
nov/16;SEBRAE;00.330.854/0001-45;246.228.294,00
nov/16;EMBRATUR;35.842.428/0001-66;0
nov/16;DPC;852001 / 00001;12.927.844,00
nov/16;ANAC;122002 / 00001;18.599.839,00
nov/16;SENAR;37.138.245/0001-90;60.921.075,00
nov/16;SEST;73.471.989/0001-95;38.350.276,00
nov/16;SENAT;73.471.963/0001-47;24.704.920,00
nov/16;SESCOOP;03.087.543/0001-86;25.281.760,00
nov/16;SDR;420013 / 00001;19.122.502,00
nov/16;APEX-BR;05.507.500/0001-38;35.888.775,00
nov/16;ABDI;07.200.966/0001-11;5.859.461,00
dez/16;FNDE;153173 / 15253;1.546.232.107,00
dez/16;INCRA;373001 / 37201;110.405.058,00
dez/16;SENAI;33.564.543/0001-90;116.685.279,00
dez/16;SESI;33.641.358/0001-52;166.083.645,00
dez/16;SENAC;33.469.172/0001-68;205.439.362,00
dez/16;SESC;33.469.164/0001-11;370.261.203,00
dez/16;SEBRAE;00.330.854/0001-45;247.453.900,00
dez/16;EMBRATUR;35.842.428/0001-66;0
dez/16;DPC;852001 / 00001;11.659.882,00
dez/16;ANAC;122002 / 00001;18.790.089,00
dez/16;SENAR;37.138.245/0001-90;57.157.293,00
dez/16;SEST;73.471.989/0001-95;38.242.492,00
dez/16;SENAT;73.471.963/0001-47;24.056.099,00
dez/16;SESCOOP;03.087.543/0001-86;26.006.277,00
dez/16;SDR;420013 / 00001;19.478.451,00
dez/16;APEX-BR;05.507.500/0001-38;36.076.902,00
dez/16;ABDI;07.200.966/0001-11;5.890.174,00
jan/17;FNDE;153173 / 15253;2.719.560.019,00
jan/17;INCRA;373001 / 37201;192.614.501,00
jan/17;SENAI;33.564.543/0001-90;195.510.573,00
jan/17;SESI;33.641.358/0001-52;278.280.064,00
jan/17;SENAC;33.469.172/0001-68;362.480.165,00
jan/17;SESC;33.469.164/0001-11;659.533.185,00
jan/17;SEBRAE;00.330.854/0001-45;436.906.000,00
jan/17;EMBRATUR;35.842.428/0001-66;0
jan/17;DPC;852001 / 00001;20.281.534,00
jan/17;ANAC;122002 / 00001;32.072.735,00
jan/17;SENAR;37.138.245/0001-90;54.514.766,00
jan/17;SEST;73.471.989/0001-95;61.283.907,00
jan/17;SENAT;73.471.963/0001-47;39.525.947,00
jan/17;SESCOOP;03.087.543/0001-86;48.653.186,00
jan/17;SDR;420013 / 00001;33.978.648,00
jan/17;APEX-BR;05.507.500/0001-38;63.692.770,00
jan/17;ABDI;07.200.966/0001-11;10.398.892,00
fev/17;FNDE;153173 / 15253;1.565.756.519,00
fev/17;INCRA;373001 / 37201;111.163.163,00
fev/17;SENAI;33.564.543/0001-90;118.256.846,00
fev/17;SESI;33.641.358/0001-52;167.938.770,00
fev/17;SENAC;33.469.172/0001-68;213.183.588,00
