Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
fev/17;SESC;33.469.164/0001-11;386.724.661,00
fev/17;SEBRAE;00.330.854/0001-45;255.305.221,00
fev/17;EMBRATUR;35.842.428/0001-66;0
fev/17;DPC;852001 / 00001;12.550.428,00
fev/17;ANAC;122002 / 00001;17.528.165,00
fev/17;SENAR;37.138.245/0001-90;49.945.186,00
fev/17;SEST;73.471.989/0001-95;37.692.320,00
fev/17;SENAT;73.471.963/0001-47;23.651.156,00
fev/17;SESCOOP;03.087.543/0001-86;27.300.094,00
fev/17;SDR;420013 / 00001;19.603.138,00
fev/17;APEX-BR;05.507.500/0001-38;36.988.184,00
fev/17;ABDI;07.200.966/0001-11;6.038.874,00
mar/17;FNDE;153173 / 15253;1.548.248.317,00
mar/17;INCRA;373001 / 37201;109.309.496,00
mar/17;SENAI;33.564.543/0001-90;112.145.703,00
mar/17;SESI;33.641.358/0001-52;160.025.709,00
mar/17;SENAC;33.469.172/0001-68;208.339.070,00
mar/17;SESC;33.469.164/0001-11;379.113.965,00
mar/17;SEBRAE;00.330.854/0001-45;249.394.900,00
mar/17;EMBRATUR;35.842.428/0001-66;0
mar/17;DPC;852001 / 00001;11.795.997,00
mar/17;ANAC;122002 / 00001;18.305.695,00
mar/17;SENAR;37.138.245/0001-90;48.325.796,00
mar/17;SEST;73.471.989/0001-95;35.984.706,00
mar/17;SENAT;73.471.963/0001-47;22.577.514,00
mar/17;SESCOOP;03.087.543/0001-86;26.526.808,00
mar/17;SDR;420013 / 00001;19.238.563,00
mar/17;APEX-BR;05.507.500/0001-38;36.298.898,00
mar/17;ABDI;07.200.966/0001-11;5.926.422,00
abr/17;FNDE;153173 / 15253;1.560.713.935,00
abr/17;INCRA;373001 / 37201;110.767.847,00
abr/17;SENAI;33.564.543/0001-90;113.425.258,00
abr/17;SESI;33.641.358/0001-52;161.952.385,00
abr/17;SENAC;33.469.172/0001-68;210.355.750,00
abr/17;SESC;33.469.164/0001-11;379.964.945,00
abr/17;SEBRAE;00.330.854/0001-45;250.714.994,00
abr/17;EMBRATUR;35.842.428/0001-66;0
abr/17;DPC;852001 / 00001;12.709.295,00
abr/17;ANAC;122002 / 00001;17.685.865,00
abr/17;SENAR;37.138.245/0001-90;64.552.019,00
abr/17;SEST;73.471.989/0001-95;37.524.795,00
abr/17;SENAT;73.471.963/0001-47;23.668.078,00
abr/17;SESCOOP;03.087.543/0001-86;26.601.654,00
abr/17;SDR;420013 / 00001;19.534.962,00
abr/17;APEX-BR;05.507.500/0001-38;36.542.570,00
abr/17;ABDI;07.200.966/0001-11;5.966.232,00
mai/17;FNDE;153173 / 15253;1.535.979.498,00
mai/17;INCRA;373001 / 37201;109.261.366,00
mai/17;SENAI;33.564.543/0001-90;112.748.383,00
mai/17;SESI;33.641.358/0001-52;160.104.982,00
mai/17;SENAC;33.469.172/0001-68;206.526.797,00
mai/17;SESC;33.469.164/0001-11;372.910.277,00
mai/17;SEBRAE;00.330.854/0001-45;248.935.171,00
mai/17;EMBRATUR;35.842.428/0001-66;0
mai/17;DPC;852001 / 00001;12.216.827,00
mai/17;ANAC;122002 / 00001;17.277.805,00
mai/17;SENAR;37.138.245/0001-90;83.955.034,00
mai/17;SEST;73.471.989/0001-95;38.292.139,00
mai/17;SENAT;73.471.963/0001-47;24.113.506,00
mai/17;SESCOOP;03.087.543/0001-86;26.730.534,00
mai/17;SDR;420013 / 00001;19.268.703,00
mai/17;APEX-BR;05.507.500/0001-38;36.282.503,00
mai/17;ABDI;07.200.966/0001-11;5.923.773,00
jun/17;FNDE;153173 / 15253;1.568.881.986,00
jun/17;INCRA;373001 / 37201;112.028.525,00
jun/17;SENAI;33.564.543/0001-90;114.823.853,00
jun/17;SESI;33.641.358/0001-52;163.229.045,00
jun/17;SENAC;33.469.172/0001-68;214.256.135,00
jun/17;SESC;33.469.164/0001-11;388.141.110,00
jun/17;SEBRAE;00.330.854/0001-45;253.382.084,00
jun/17;EMBRATUR;35.842.428/0001-66;0
jun/17;DPC;852001 / 00001;12.288.117,00
jun/17;ANAC;122002 / 00001;18.744.632,00
jun/17;SENAR;37.138.245/0001-90;69.562.429,00
jun/17;SEST;73.471.989/0001-95;38.365.845,00
jun/17;SENAT;73.471.963/0001-47;24.201.400,00
jun/17;SESCOOP;03.087.543/0001-86;27.312.313,00
jun/17;SDR;420013 / 00001;19.757.997,00
jun/17;APEX-BR;05.507.500/0001-38;36.932.210,00
jun/17;ABDI;07.200.966/0001-11;6.029.862,00
jul/17;FNDE;153173 / 15253;1.545.570.493,00
jul/17;INCRA;373001 / 37201;110.133.733,00
jul/17;SENAI;33.564.543/0001-90;113.041.104,00
jul/17;SESI;33.641.358/0001-52;161.742.520,00
jul/17;SENAC;33.469.172/0001-68;210.357.945,00
jul/17;SESC;33.469.164/0001-11;381.612.994,00
jul/17;SEBRAE;00.330.854/0001-45;250.294.029,00
jul/17;EMBRATUR;35.842.428/0001-66;0
jul/17;DPC;852001 / 00001;12.223.731,00
jul/17;ANAC;122002 / 00001;18.195.489,00
jul/17;SENAR;37.138.245/0001-90;79.876.372,00
jul/17;SEST;73.471.989/0001-95;39.031.391,00
jul/17;SENAT;73.471.963/0001-47;24.552.802,00
jul/17;SESCOOP;03.087.543/0001-86;27.176.756,00
jul/17;SDR;420013 / 00001;19.424.430,00
jul/17;APEX-BR;05.507.500/0001-38;36.482.985,00
jul/17;ABDI;07.200.966/0001-11;5.956.499,00
ago/17;FNDE;153173 / 15253;1.556.726.519,00
ago/17;INCRA;373001 / 37201;111.266.218,00
ago/17;SENAI;33.564.543/0001-90;113.931.222,00
ago/17;SESI;33.641.358/0001-52;162.890.307,00
ago/17;SENAC;33.469.172/0001-68;211.928.562,00
ago/17;SESC;33.469.164/0001-11;384.238.969,00
ago/17;SEBRAE;00.330.854/0001-45;251.941.802,00
ago/17;EMBRATUR;35.842.428/0001-66;0
ago/17;DPC;852001 / 00001;12.022.854,00
ago/17;ANAC;122002 / 00001;16.855.338,00
ago/17;SENAR;37.138.245/0001-90;73.862.839,00
ago/17;SEST;73.471.989/0001-95;39.710.791,00
ago/17;SENAT;73.471.963/0001-47;25.063.535,00
ago/17;SESCOOP;03.087.543/0001-86;27.757.278,00
ago/17;SDR;420013 / 00001;19.623.675,00
ago/17;APEX-BR;05.507.500/0001-38;36.722.466,00
ago/17;ABDI;07.200.966/0001-11;5.995.597,00
set/17;FNDE;153173 / 15253;1.581.716.024,00
set/17;INCRA;373001 / 37201;113.084.889,00
set/17;SENAI;33.564.543/0001-90;118.754.854,00
set/17;SESI;33.641.358/0001-52;169.680.795,00
set/17;SENAC;33.469.172/0001-68;214.106.173,00
set/17;SESC;33.469.164/0001-11;391.368.909,00
set/17;SEBRAE;00.330.854/0001-45;257.263.963,00
set/17;EMBRATUR;35.842.428/0001-66;0
set/17;DPC;852001 / 00001;12.513.184,00
set/17;ANAC;122002 / 00001;18.484.770,00
set/17;SENAR;37.138.245/0001-90;78.087.501,00
set/17;SEST;73.471.989/0001-95;40.989.433,00
set/17;SENAT;73.471.963/0001-47;25.762.395,00
set/17;SESCOOP;03.087.543/0001-86;27.886.944,00
set/17;SDR;420013 / 00001;19.944.891,00
set/17;APEX-BR;05.507.500/0001-38;37.498.873,00
set/17;ABDI;07.200.966/0001-11;6.122.411,00
out/17;FNDE;153173 / 15253;1.554.720.154,00
out/17;INCRA;373001 / 37201;111.075.380,00
out/17;SENAI;33.564.543/0001-90;114.132.533,00
out/17;SESI;33.641.358/0001-52;163.327.551,00
out/17;SENAC;33.469.172/0001-68;212.741.789,00
out/17;SESC;33.469.164/0001-11;384.870.409,00
out/17;SEBRAE;00.330.854/0001-45;254.897.197,00
out/17;EMBRATUR;35.842.428/0001-66;0
out/17;DPC;852001 / 00001;12.120.128,00
out/17;ANAC;122002 / 00001;18.167.462,00
out/17;SENAR;37.138.245/0001-90;73.113.368,00
out/17;SEST;73.471.989/0001-95;40.628.057,00
out/17;SENAT;73.471.963/0001-47;25.384.799,00
out/17;SESCOOP;03.087.543/0001-86;29.147.727,00
out/17;SDR;420013 / 00001;19.558.167,00
out/17;APEX-BR;05.507.500/0001-38;37.111.665,00
out/17;ABDI;07.200.966/0001-11;6.059.191,00
nov/17;FNDE;153173 / 15253;1.555.582.086,00
nov/17;INCRA;373001 / 37201;110.982.973,00
nov/17;SENAI;33.564.543/0001-90;116.102.038,00
nov/17;SESI;33.641.358/0001-52;166.009.800,00
nov/17;SENAC;33.469.172/0001-68;213.318.033,00
nov/17;SESC;33.469.164/0001-11;386.206.656,00
nov/17;SEBRAE;00.330.854/0001-45;257.104.763,00
nov/17;EMBRATUR;35.842.428/0001-66;0
nov/17;DPC;852001 / 00001;12.216.007,00
nov/17;ANAC;122002 / 00001;17.597.668,00
nov/17;SENAR;37.138.245/0001-90;83.260.366,00
nov/17;SEST;73.471.989/0001-95;41.195.035,00
nov/17;SENAT;73.471.963/0001-47;25.890.831,00
nov/17;SESCOOP;03.087.543/0001-86;28.597.078,00
nov/17;SDR;420013 / 00001;19.574.705,00
nov/17;APEX-BR;05.507.500/0001-38;37.476.624,00
nov/17;ABDI;07.200.966/0001-11;6.118.789,00
dez/17;FNDE;153173 / 15253;1.561.171.549,00
dez/17;INCRA;373001 / 37201;111.557.311,00
dez/17;SENAI;33.564.543/0001-90;121.475.712,00
dez/17;SESI;33.641.358/0001-52;171.991.610,00
dez/17;SENAC;33.469.172/0001-68;261.103.472,00
dez/17;SESC;33.469.164/0001-11;396.213.121,00
dez/17;SEBRAE;00.330.854/0001-45;330.175.604,00
dez/17;EMBRATUR;35.842.428/0001-66;0
dez/17;DPC;852001 / 00001;11.929.161,00
dez/17;ANAC;122002 / 00001;17.342.889,00
dez/17;SENAR;37.138.245/0001-90;70.053.416,00
dez/17;SEST;73.471.989/0001-95;47.960.907,00
dez/17;SENAT;73.471.963/0001-47;28.600.326,00
dez/17;SESCOOP;03.087.543/0001-86;29.276.590,00
dez/17;SDR;420013 / 00001;19.679.717,00
dez/17;APEX-BR;05.507.500/0001-38;48.136.455,00
dez/17;ABDI;07.200.966/0001-11;7.859.179,00
jan/18;FNDE;153173 / 15253;2.800.035.912,00
jan/18;INCRA;373001 / 37201;199.828.235,00
jan/18;SENAI;33.564.543/0001-90;216.977.540,00
jan/18;SESI;33.641.358/0001-52;296.152.526,00
jan/18;SENAC;33.469.172/0001-68;429.595.056,00
jan/18;SESC;33.469.164/0001-11;709.549.806,00
jan/18;SEBRAE;00.330.854/0001-45;539.119.770,00
jan/18;EMBRATUR;35.842.428/0001-66;0
jan/18;DPC;852001 / 00001;21.184.040,00
jan/18;ANAC;122002 / 00001;32.872.240,00
jan/18;SENAR;37.138.245/0001-90;97.632.611,00
jan/18;SEST;73.471.989/0001-95;73.525.540,00
jan/18;SENAT;73.471.963/0001-47;45.908.464,00
jan/18;SESCOOP;03.087.543/0001-86;53.955.735,00
jan/18;SDR;420013 / 00001;35.252.199,00
jan/18;APEX-BR;05.507.500/0001-38;78.598.037,00
jan/18;ABDI;07.200.966/0001-11;12.832.515,00
fev/18;FNDE;153173 / 15253;1.610.944.379,00
fev/18;INCRA;373001 / 37201;115.044.658,00
fev/18;SENAI;33.564.543/0001-90;119.453.424,00
fev/18;SESI;33.641.358/0001-52;170.322.505,00
fev/18;SENAC;33.469.172/0001-68;222.164.680,00
fev/18;SESC;33.469.164/0001-11;404.395.986,00
fev/18;SEBRAE;00.330.854/0001-45;265.515.838,00
fev/18;EMBRATUR;35.842.428/0001-66;0
fev/18;DPC;852001 / 00001;12.579.069,00
fev/18;ANAC;122002 / 00001;18.844.656,00
fev/18;SENAR;37.138.245/0001-90;64.259.876,00
fev/18;SEST;73.471.989/0001-95;42.011.196,00
fev/18;SENAT;73.471.963/0001-47;26.280.417,00
fev/18;SESCOOP;03.087.543/0001-86;29.994.816,00
fev/18;SDR;420013 / 00001;20.290.775,00
fev/18;APEX-BR;05.507.500/0001-38;38.704.302,00
fev/18;ABDI;07.200.966/0001-11;6.319.228,00
mar/18;FNDE;153173 / 15253;1.594.471.435,00
mar/18;INCRA;373001 / 37201;114.998.630,00
mar/18;SENAI;33.564.543/0001-90;112.513.853,00
mar/18;SESI;33.641.358/0001-52;161.249.138,00
mar/18;SENAC;33.469.172/0001-68;218.614.123,00
mar/18;SESC;33.469.164/0001-11;394.816.301,00
mar/18;SEBRAE;00.330.854/0001-45;258.138.998,00
mar/18;EMBRATUR;35.842.428/0001-66;0
mar/18;DPC;852001 / 00001;12.364.890,00
mar/18;ANAC;122002 / 00001;18.618.334,00
mar/18;SENAR;37.138.245/0001-90;61.865.847,00
mar/18;SEST;73.471.989/0001-95;38.083.519,00
mar/18;SENAT;73.471.963/0001-47;24.001.336,00
mar/18;SESCOOP;03.087.543/0001-86;29.230.081,00
mar/18;SDR;420013 / 00001;20.280.541,00
mar/18;APEX-BR;05.507.500/0001-38;37.623.756,00
mar/18;ABDI;07.200.966/0001-11;6.142.802,00
abr/18;FNDE;153173 / 15253;1.572.660.874,00
abr/18;INCRA;373001 / 37201;113.071.451,00
abr/18;SENAI;33.564.543/0001-90;111.255.656,00
abr/18;SESI;33.641.358/0001-52;159.389.391,00
abr/18;SENAC;33.469.172/0001-68;216.333.416,00
abr/18;SESC;33.469.164/0001-11;388.746.629,00
abr/18;SEBRAE;00.330.854/0001-45;252.299.672,00
abr/18;EMBRATUR;35.842.428/0001-66;0
abr/18;DPC;852001 / 00001;12.124.921,00
abr/18;ANAC;122002 / 00001;18.083.260,00
abr/18;SENAR;37.138.245/0001-90;88.705.529,00
abr/18;SEST;73.471.989/0001-95;38.260.990,00
abr/18;SENAT;73.471.963/0001-47;24.135.166,00
abr/18;SESCOOP;03.087.543/0001-86;29.009.799,00
abr/18;SDR;420013 / 00001;19.976.895,00
abr/18;APEX-BR;05.507.500/0001-38;36.820.058,00
abr/18;ABDI;07.200.966/0001-11;6.011.587,00
mai/18;FNDE;153173 / 15253;1.588.651.270,00
mai/18;INCRA;373001 / 37201;114.555.379,00
mai/18;SENAI;33.564.543/0001-90;113.390.499,00
mai/18;SESI;33.641.358/0001-52;162.016.553,00
mai/18;SENAC;33.469.172/0001-68;217.807.585,00
mai/18;SESC;33.469.164/0001-11;395.044.469,00
mai/18;SEBRAE;00.330.854/0001-45;192.086.606,00
mai/18;EMBRATUR;35.842.428/0001-66;0
mai/18;DPC;852001 / 00001;12.068.490,00
mai/18;ANAC;122002 / 00001;17.670.872,00
mai/18;SENAR;37.138.245/0001-90;112.027.735,00
mai/18;SEST;73.471.989/0001-95;41.378.036,00
mai/18;SENAT;73.471.963/0001-47;25.856.252,00
mai/18;SESCOOP;03.087.543/0001-86;29.460.052,00
mai/18;SDR;420013 / 00001;20.202.072,00
mai/18;APEX-BR;05.507.500/0001-38;37.556.392,00
mai/18;ABDI;07.200.966/0001-11;71.724.479,00
jun/18;FNDE;153173 / 15253;1.582.747.831,00
jun/18;INCRA;373001 / 37201;113.599.653,00
jun/18;SENAI;33.564.543/0001-90;113.889.725,00
jun/18;SESI;33.641.358/0001-52;162.946.304,00
jun/18;SENAC;33.469.172/0001-68;218.610.995,00
jun/18;SESC;33.469.164/0001-11;394.893.071,00
jun/18;SEBRAE;00.330.854/0001-45;257.289.254,00
jun/18;EMBRATUR;35.842.428/0001-66;0
jun/18;DPC;852001 / 00001;12.537.154,00
jun/18;ANAC;122002 / 00001;17.979.480,00
jun/18;SENAR;37.138.245/0001-90;115.492.472,00
jun/18;SEST;73.471.989/0001-95;41.122.055,00
jun/18;SENAT;73.471.963/0001-47;25.780.137,00
jun/18;SESCOOP;03.087.543/0001-86;29.782.485,00
jun/18;SDR;420013 / 00001;20.035.640,00
jun/18;APEX-BR;05.507.500/0001-38;37.502.441,00
jun/18;ABDI;07.200.966/0001-11;6.122.995,00
jul/18;FNDE;153173 / 15253;1.577.909.338,00
jul/18;INCRA;373001 / 37201;113.418.200,00
jul/18;SENAI;33.564.543/0001-90;112.800.343,00
jul/18;SESI;33.641.358/0001-52;161.160.829,00
jul/18;SENAC;33.469.172/0001-68;217.617.488,00
jul/18;SESC;33.469.164/0001-11;392.182.422,00
jul/18;SEBRAE;00.330.854/0001-45;255.914.320,00
jul/18;EMBRATUR;35.842.428/0001-66;0
jul/18;DPC;852001 / 00001;12.959.143,00
jul/18;ANAC;122002 / 00001;18.697.275,00
jul/18;SENAR;37.138.245/0001-90;91.957.665,00
jul/18;SEST;73.471.989/0001-95;40.396.158,00
jul/18;SENAT;73.471.963/0001-47;25.462.767,00
jul/18;SESCOOP;03.087.543/0001-86;29.004.815,00
jul/18;SDR;420013 / 00001;20.002.439,00
jul/18;APEX-BR;05.507.500/0001-38;37.300.403,00
jul/18;ABDI;07.200.966/0001-11;6.090.012,00
ago/18;FNDE;153173 / 15253;1.573.545.353,00
ago/18;INCRA;373001 / 37201;113.573.852,00
ago/18;SENAI;33.564.543/0001-90;112.330.415,00
ago/18;SESI;33.641.358/0001-52;160.695.243,00
ago/18;SENAC;33.469.172/0001-68;217.215.045,00
ago/18;SESC;33.469.164/0001-11;394.220.279,00
ago/18;SEBRAE;00.330.854/0001-45;255.453.189,00
ago/18;EMBRATUR;35.842.428/0001-66;0
ago/18;DPC;852001 / 00001;11.650.102,00
ago/18;ANAC;122002 / 00001;18.184.212,00
ago/18;SENAR;37.138.245/0001-90;98.685.008,00
ago/18;SEST;73.471.989/0001-95;43.139.692,00
ago/18;SENAT;73.471.963/0001-47;26.700.056,00
ago/18;SESCOOP;03.087.543/0001-86;29.487.425,00
ago/18;SDR;420013 / 00001;19.987.074,00
ago/18;APEX-BR;05.507.500/0001-38;37.177.003,00
ago/18;ABDI;07.200.966/0001-11;6.069.871,00
set/18;FNDE;153173 / 15253;1.639.366.442,00
set/18;INCRA;373001 / 37201;117.931.478,00
set/18;SENAI;33.564.543/0001-90;117.879.275,00
set/18;SESI;33.641.358/0001-52;168.810.282,00
set/18;SENAC;33.469.172/0001-68;226.389.735,00
set/18;SESC;33.469.164/0001-11;409.696.076,00
set/18;SEBRAE;00.330.854/0001-45;266.496.070,00
set/18;EMBRATUR;35.842.428/0001-66;0
set/18;DPC;852001 / 00001;11.542.392,00
set/18;ANAC;122002 / 00001;18.071.258,00
set/18;SENAR;37.138.245/0001-90;95.968.747,00
set/18;SEST;73.471.989/0001-95;45.340.891,00
set/18;SENAT;73.471.963/0001-47;28.306.396,00
set/18;SESCOOP;03.087.543/0001-86;28.906.897,00
set/18;SDR;420013 / 00001;20.800.004,00
set/18;APEX-BR;05.507.500/0001-38;38.844.861,00
set/18;ABDI;07.200.966/0001-11;6.342.163,00
out/18;FNDE;153173 / 15253;1.525.126.063,00
out/18;INCRA;373001 / 37201;120.979.982,00
out/18;SENAI;33.564.543/0001-90;110.164.666,00
out/18;SESI;33.641.358/0001-52;157.423.045,00
out/18;SENAC;33.469.172/0001-68;208.683.788,00
out/18;SESC;33.469.164/0001-11;379.119.439,00
out/18;SEBRAE;00.330.854/0001-45;242.977.767,00
out/18;EMBRATUR;35.842.428/0001-66;0
out/18;DPC;852001 / 00001;11.215.874,00
out/18;ANAC;122002 / 00001;17.001.170,00
out/18;SENAR;37.138.245/0001-90;92.001.809,00
out/18;SEST;73.471.989/0001-95;41.819.755,00
out/18;SENAT;73.471.963/0001-47;26.614.369,00
out/18;SESCOOP;03.087.543/0001-86;27.574.842,00
out/18;SDR;420013 / 00001;9.081.115,00
out/18;APEX-BR;05.507.500/0001-38;35.413.459,00
out/18;ABDI;07.200.966/0001-11;5.781.949,00
nov/18;FNDE;153173 / 15253;1.593.844.416,00
nov/18;INCRA;373001 / 37201;126.527.407,00
nov/18;SENAI;33.564.543/0001-90;113.291.706,00
nov/18;SESI;33.641.358/0001-52;162.249.001,00
nov/18;SENAC;33.469.172/0001-68;217.599.574,00
nov/18;SESC;33.469.164/0001-11;392.726.425,00
nov/18;SEBRAE;00.330.854/0001-45;254.794.720,00
nov/18;EMBRATUR;35.842.428/0001-66;0
nov/18;DPC;852001 / 00001;11.546.004,00
nov/18;ANAC;122002 / 00001;16.718.708,00
nov/18;SENAR;37.138.245/0001-90;90.445.671,00
nov/18;SEST;73.471.989/0001-95;42.971.178,00
nov/18;SENAT;73.471.963/0001-47;27.456.501,00
nov/18;SESCOOP;03.087.543/0001-86;28.005.756,00
nov/18;SDR;420013 / 00001;8.911.100,00
nov/18;APEX-BR;05.507.500/0001-38;37.131.169,00
nov/18;ABDI;07.200.966/0001-11;6.062.402,00
dez/18;FNDE;153173 / 15253;1.626.809.010,00
dez/18;INCRA;373001 / 37201;129.563.614,00
dez/18;SENAI;33.564.543/0001-90;112.676.412,00
dez/18;SESI;33.641.358/0001-52;161.874.475,00
dez/18;SENAC;33.469.172/0001-68;223.465.587,00
dez/18;SESC;33.469.164/0001-11;402.744.493,00
dez/18;SEBRAE;00.330.854/0001-45;263.034.038,00
dez/18;EMBRATUR;35.842.428/0001-66;0
dez/18;DPC;852001 / 00001;12.011.156,00
dez/18;ANAC;122002 / 00001;17.355.673,00
dez/18;SENAR;37.138.245/0001-90;88.365.344,00
dez/18;SEST;73.471.989/0001-95;43.910.308,00
dez/18;SENAT;73.471.963/0001-47;28.203.114,00
dez/18;SESCOOP;03.087.543/0001-86;27.972.870,00
dez/18;SDR;420013 / 00001;8.847.343,00
dez/18;APEX-BR;05.507.500/0001-38;38.338.468,00
dez/18;ABDI;07.200.966/0001-11;6.259.504,00
jan/19;FNDE;153173 / 15253;2.813.094.868,00
jan/19;INCRA;373001 / 37201;222.965.066,00
jan/19;SENAI;33.564.543/0001-90;190.839.310,00
jan/19;SESI;33.641.358/0001-52;270.637.167,00
jan/19;SENAC;33.469.172/0001-68;388.624.046,00
jan/19;SESC;33.469.164/0001-11;702.782.190,00
jan/19;SEBRAE;00.330.854/0001-45;451.650.966,00
jan/19;EMBRATUR;35.842.428/0001-66;0
jan/19;DPC;852001 / 00001;20.017.503,00
jan/19;ANAC;122002 / 00001;29.322.223,00
jan/19;SENAR;37.138.245/0001-90;83.329.998,00
jan/19;SEST;73.471.989/0001-95;66.534.729,00
jan/19;SENAT;73.471.963/0001-47;43.301.954,00
jan/19;SESCOOP;03.087.543/0001-86;53.153.993,00
jan/19;SDR;420013 / 00001;14.796.282,00
jan/19;APEX-BR;05.507.500/0001-38;65.843.104,00
jan/19;ABDI;07.200.966/0001-11;10.750.113,00
fev/19;FNDE;153173 / 15253;1.731.450.323,00
fev/19;INCRA;373001 / 37201;138.185.352,00
fev/19;SENAI;33.564.543/0001-90;122.123.728,00
fev/19;SESI;33.641.358/0001-52;174.742.432,00
fev/19;SENAC;33.469.172/0001-68;238.281.984,00
fev/19;SESC;33.469.164/0001-11;430.401.793,00
fev/19;SEBRAE;00.330.854/0001-45;280.030.953,00
fev/19;EMBRATUR;35.842.428/0001-66;0
fev/19;DPC;852001 / 00001;13.217.532,00
fev/19;ANAC;122002 / 00001;21.123.059,00
fev/19;SENAR;37.138.245/0001-90;98.999.202,00
fev/19;SEST;73.471.989/0001-95;42.958.182,00
fev/19;SENAT;73.471.963/0001-47;27.501.632,00
fev/19;SESCOOP;03.087.543/0001-86;29.830.734,00
fev/19;SDR;420013 / 00001;9.148.009,00
fev/19;APEX-BR;05.507.500/0001-38;40.812.084,00
fev/19;ABDI;07.200.966/0001-11;6.663.400,00
mar/19;FNDE;153173 / 15253;1.678.669.736,00
mar/19;INCRA;373001 / 37201;122.922.080,00
mar/19;SENAI;33.564.543/0001-90;113.541.855,00
mar/19;SESI;33.641.358/0001-52;163.568.403,00
mar/19;SENAC;33.469.172/0001-68;230.598.256,00
mar/19;SESC;33.469.164/0001-11;415.232.536,00
mar/19;SEBRAE;00.330.854/0001-45;266.876.164,00
mar/19;EMBRATUR;35.842.428/0001-66;0
mar/19;DPC;852001 / 00001;12.577.271,00
mar/19;ANAC;122002 / 00001;18.208.057,00
mar/19;SENAR;37.138.245/0001-90;79.724.140,00
mar/19;SEST;73.471.989/0001-95;43.541.901,00
